"Taxon","Region","MinAge","MaxAge","Locality"
"Prodeinotherium hobleyi","Africa",17,18,"Rusinga (Kathwanga)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Rusinga (kiahera hill)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Rusinga (Kiyune)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Rusinga (kulu)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Rusinga (Nyamsingula)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Rusinga (R106)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Rusinga (R117)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Rusinga (R7)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Rusinga (Sienga)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Rusinga (Wakondu)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Rusinga (Wanyama)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Rusinga (Wayondo)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Uyoma 10 (Nyakongo)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Uyoma 11 (Nyamsore S)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Uyoma 12 (Rangoye)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Uyoma 13 (Ruma)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Uyoma 2 (Chianda N)_siteSet_1"
"Eozygodon morotoensis","Africa",17,18,"Rusinga (Hiwegi)_siteSet_1"
"Eozygodon morotoensis","Africa",17,18,"Rusinga (Kathwanga)_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Uyoma 6 (Magare)_siteSet_1"
"Prodeinotherium bavaricum","Europe",15.2,18,"La Sauvetat_siteSet_1"
"Gomphotherium angustidens","Europe",15.2,18,"Gerlenhofen_siteSet_1"
"Gomphotherium angustidens","Europe",15.2,18,"Grimmelfingen_siteSet_1"
"Prodeinotherium hobleyi","Africa",17,18,"Uyoma 9 (Nyabera)_siteSet_1"
"Zygolophodon turicensis","Europe",15.2,18,"Montbrun-Bocage_siteSet_1"
"Gomphotherium angustidens","Europe",15.2,18,"Monteagudo_siteSet_1"
"Stegolophodon hueiheensis","Asia",16,18,"Sihong-shuanggou_siteSet_1"
"Stegolophodon hueiheensis","Asia",16,18,"Sihong-songlinzhuang_siteSet_1"
"Stegolophodon hueiheensis","Asia",17,18,"Xiacaowan_siteSet_1"
"Gomphotherium angustidens","Asia",16.4,17.2,"Aktau middle_siteSet_1"
"Gomphotherium cooperi","Asia",16.4,17.2,"Ad Dabtiyah_siteSet_1"
"Gomphotherium angustidens","Asia",16.4,17.2,"Akcahisar 1_siteSet_1"
"Zygolophodon turicensis","Asia",16.4,17.2,"Akcahisar 1_siteSet_1"
"Gomphotherium sylvaticum","Europe",16.4,17.2,"Artenay_siteSet_1"
"Archaeobelodon filholi","Europe",16.4,17.2,"Artesilla_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Artesilla_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Baggersee Freudenegg 2_siteSet_1"
"Gomphotherium subtapiroideum","Europe",16.4,17.2,"Baggersee Freudenegg 3_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Belchatow C_siteSet_1"
"Gomphotherium annectens","Asia",16.4,17.2,"Bestobe_siteSet_1"
"Archaeobelodon filholi","Europe",16.4,17.2,"Bézian_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Buñol_siteSet_1"
"Gomphotherium angustidens","Africa",16.4,17.2,"Buluk_siteSet_1"
"Archaeobelodon filholi","Africa",16.4,17.2,"Buluk (West Stephanie)_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Can Canals_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Can Julia_siteSet_1"
"Prodeinotherium hobleyi","Africa",16.4,17.2,"Buluk_siteSet_1"
"Prodeinotherium hobleyi","Africa",16.4,17.2,"Buluk (West Stephanie)_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Chêne de Navère_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Conrelas do Cavão_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Córcoles_siteSet_1"
"Choerolophodon corrugatus","Asia",16.4,17.2,"Dera Bugti 6_siteSet_1"
"Gomphotherium cooperi","Asia",16.4,17.2,"Dera Bugti 6_siteSet_1"
"Gomphotherium browni","Asia",16.4,17.2,"Dera Bugti 6_siteSet_1"
"Miomastodon metachinjiensis","Asia",16.4,17.2,"Dera Bugti 6_siteSet_1"
"Protanancus chinjiensis","Asia",16.4,17.2,"Dera Bugti 6_siteSet_1"
"Gomphotherium angustidens","Africa",16.4,17.2,"Rusinga (-)_siteSet_2"
"Prodeinotherium bavaricum","Asia",16.4,17.2,"Akcahisar 1_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Eggingen-Mittelhart 3_siteSet_1"
"Prodeinotherium bavaricum","Europe",16.4,17.2,"Artesilla_siteSet_1"
"Prodeinotherium bavaricum","Europe",16.4,17.2,"Baggersee Freudenegg 3_siteSet_1"
"Prodeinotherium bavaricum","Europe",16.4,17.2,"Can Canals_siteSet_1"
"Prodeinotherium bavaricum","Europe",16.4,17.2,"Chevilly_siteSet_1"
"Prodeinotherium pentapotamiae","Asia",16.4,17.2,"Dera Bugti 6_siteSet_1"
"Prodeinotherium bavaricum","Europe",16.4,17.2,"Eggingen-Mittelhart 3_siteSet_1"
"Prodeinotherium bavaricum","Europe",16.4,17.2,"La Romieu_siteSet_1"
"Prodeinotherium bavaricum","Europe",16.4,17.2,"Langenau 1_siteSet_1"
"Prodeinotherium bavaricum","Europe",16.4,17.2,"Langenau 2_siteSet_1"
"Prodeinotherium bavaricum","Europe",16.4,17.2,"Montreal-du-Gers_siteSet_1"
"Prodeinotherium bavaricum","Europe",16.4,17.2,"Tavers_siteSet_1"
"Archaeobelodon filholi","Europe",16.4,17.2,"La Romieu_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"La Romieu_siteSet_1"
"Zygolophodon turicensis","Europe",16.4,17.2,"La Romieu_siteSet_1"
"Zygolophodon turicensis","Europe",16.4,17.2,"La Romieu superior_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Langenau 1_siteSet_1"
"Gomphotherium sylvaticum","Europe",16.4,17.2,"Montreal-du-Gers_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Quinta da Farinheira_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Quinta das Pedreiras_siteSet_1"
"Gomphotherium sylvaticum","Europe",16.4,17.2,"Quinta das Pedreiras_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Quinta Grande_siteSet_1"
"Gomphotherium angustidens","Europe",16.4,17.2,"Sant Mamet_siteSet_1"
"Prodeinotherium hobleyi","Africa",16.4,17.2,"Ryskop_siteSet_1"
"Eozygodon morotoensis","Africa",17.2,17.2,"Morourot_siteSet_1"
"Gomphotherium angustidens","Africa",17.2,17.2,"Morourot_siteSet_1"
"Prodeinotherium hobleyi","Africa",17.2,17.2,"Kalodirr_siteSet_1"
"Prodeinotherium hobleyi","Africa",17.2,17.2,"Morourot_siteSet_1"
"Stegolophodon pseudolatidens","Asia",16.4,17,"Harinoki_siteSet_1"
"Stegolophodon pseudolatidens","Asia",16.4,17,"Kasuga_siteSet_1"
"Stegolophodon pseudolatidens","Asia",16.4,17,"Shibata_siteSet_1"
"Stegolophodon pseudolatidens","Asia",16.4,17,"Shiogama_siteSet_1"
"Stegolophodon pseudolatidens","Asia",16.4,17,"Suwara_siteSet_1"
"Stegolophodon pseudolatidens","Asia",16.4,17,"Taira-Kamitakaku_siteSet_1"
"Stegolophodon pseudolatidens","Asia",16.4,17,"Tochizu_siteSet_1"
"Stegolophodon pseudolatidens","Asia",16.4,17,"Yatsuomachi-Miyanokoshi_siteSet_1"
"Gomphotherium angustidens","Europe",15.2,17,"Baigneaux-en-Beauce_siteSet_1"
"Platybelodon danovi","Europe",15.2,17,"Belometchetskaja_siteSet_1"
"Gomphotherium angustidens","Europe",15.2,17,"Puente de Vallecas_siteSet_1"
"Gomphotherium angustidens","Europe",16.318,16.583,"Engelswies_siteSet_1"
"Stegolophodon pseudolatidens","Asia",16,16.4,"Himosash_siteSet_1"
"Stegolophodon pseudolatidens","Asia",16,16.4,"Kitashioko_siteSet_1"
"Stegolophodon pseudolatidens","Asia",16,16.4,"Shimoanosawa_siteSet_1"
"Gomphotherium angustidens","Asia",14.2,16.4,"Akkemer_siteSet_1"
"Afromastodon coppensi","Africa",14.2,16.4,"Arrisdrift_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Arroyo del Olivar_siteSet_1"
"Platybelodon danovi","Europe",14.2,16.4,"Belometchetskaja_siteSet_2"
"Archaeobelodon filholi","Europe",14.2,16.4,"Birosse_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Breil MN5_siteSet_1"
"Zygolophodon turicensis","Europe",14.2,16.4,"Breil MN5_siteSet_1"
"Zygolophodon turicensis","Europe",14.2,16.4,"Castelnau-d'Auzan_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Channay-sur-Lathan MN5_siteSet_1"
"Choerolophodon chioticus","Europe",14.2,16.4,"Chios_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Cléré-les-Pins MN5_siteSet_1"
"Zygolophodon turicensis","Europe",14.2,16.4,"Cléré-les-Pins MN5_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Crastes_siteSet_1"
"Gomphotherium inopinatum","Asia",14.2,16.4,"Dzhilanchik (Uly-Dzhilanchik)_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Edelbeuren-Maurerkopf_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Enghausen_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Esvres - Marine Faluns_siteSet_1"
"Zygolophodon turicensis","Europe",14.2,16.4,"Esvres - Marine Faluns_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Frohberg_siteSet_1"
"Gomphotherium angustidens","Europe",12.5,16.4,"Gallenbach 2C_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Gimont_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Göttschlag 1b_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Grund_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Guntersdorf bei Grund_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Heggbach_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Henares 2_siteSet_1"
"Archaeobelodon filholi","Europe",14.2,16.4,"Hommes MN5_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Hommes MN5_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Hüllistein_siteSet_1"
"Zygolophodon turicensis","Asia",14.2,16.4,"Kalkaman lake_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"La Condoue_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"La Hidroelectrica Madrid_siteSet_1"
"Zygolophodon turicensis","Europe",14.2,16.4,"La Hidroelectrica Madrid_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"La Retama_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Lasse MN5_siteSet_1"
"Zygolophodon turicensis","Europe",14.2,16.4,"Lasse MN5_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Los Nogales_siteSet_1"
"Prodeinotherium bavaricum","Asia",12.5,16.4,"Altinköy_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Beaugency-Tavers_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Belometchetskaja_siteSet_2"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Béraut_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Breil MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Chalonne-sous-le-Lude MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Channay-sur-Lathan MN5_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Chavaignes MN5_siteSet_1"
"Gomphotherium angustidens","Europe",14.2,16.4,"Montejo de la Vega_siteSet_1"
"Prodeinotherium bavaricum","Europe",14.2,16.4,"Cléré-les-Pins MN5_siteSet_1"
