"Taxon","Region","MinAge","MaxAge","Locality"
"Gomphotherium productum","North America",13.6,15.97,"Chama-El Rito_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Chesapeake Bay (Choptank)_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Cold Spring_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Forked Hills of Hayden_siteSet_1"
"Gomphotherium productum","North America",13.82,15.97,"Governor Run, north of, Zone 13_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Hazard Homestead Quarry_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Hottell Ranch Horse Quarry_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Joseph Jamber Quarry_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Myers Farm_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Norden Bridge Quarry_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Quantock_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Santa Cruz_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Stephen Prairie_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Tetrabelodon osborni Quarry_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Tetrabelodon willistoni Quarry_siteSet_1"
"Gomphotherium productum","North America",13.6,15.97,"Valentine Railway Quarries_siteSet_1"
"Deinotherium indicum","Asia",11.6,15.9,"Pasuda_siteSet_1"
"Protanancus macinnesi","Africa",15.5,15.5,"Kipsaramon 2_siteSet_2"
"Afrochoerodon kisumuensis","Africa",15.5,15.5,"Kipsaramon 1_siteSet_1"
"Afrochoerodon kisumuensis","Africa",14.7,15.2,"Maboko_siteSet_1"
"Gomphotherium angustidens","Europe",12.5,15.2,"Gisseltshausen 1b_siteSet_1"
"Gomphotherium connexum","Asia",11.2,15.2,"Huangzhong-diaogou_siteSet_1"
"Gomphotherium wimani","Asia",11.2,15.2,"Huangzhong-diaogou_siteSet_1"
"Gomphotherium connexum","Asia",12.5,15.2,"Junggar-Botamoyin_siteSet_1"
"Miomastodon gobiensis","Asia",12.5,15.2,"Tongxin-gujiazhuang_siteSet_1"
"Platybelodon tongxinensis","Asia",12.5,15.2,"Tongxin-gujiazhuang_siteSet_1"
"Platybelodon tongxinensis","Asia",12.5,15.2,"Tongxin-maerzuizigou_siteSet_1"
"Platybelodon tongxinensis","Asia",12.5,15.2,"Tongxin-shataigou_siteSet_1"
"Platybelodon grangeri","Asia",11.2,15.2,"Zhongning-hejiagou_siteSet_1"
"Platybelodon tongxinensis","Asia",13.5,15,"Tongxin-dingjiaergou_siteSet_1"
"Protanancus macinnesi","Africa",15,15,"Nyakach 11 (Kaimogool South)_siteSet_1"
"Protanancus macinnesi","Africa",15,15,"Nyakach 12 (Kaplelatet)_siteSet_1"
"Protanancus macinnesi","Africa",15,15,"Nyakach 14 (Koimoroon 1)_siteSet_1"
"Protanancus macinnesi","Africa",15,15,"Nyakach 16 (Koimoroon 3)_siteSet_1"
"Protanancus macinnesi","Africa",15,15,"Nyakach 19 (Pundo)_siteSet_1"
"Protanancus macinnesi","Africa",15,15,"Nyakach 20 (Ramogi)_siteSet_1"
"Protanancus macinnesi","Africa",15,15,"Nyakach 6 (Ewaret)_siteSet_1"
"Protanancus macinnesi","Africa",15,15,"Nyakach 8 (Kadianga West)_siteSet_1"
"Protanancus macinnesi","Africa",15,15,"Nyakach 9 (Kaimogool East)_siteSet_1"
"Prodeinotherium hobleyi","Africa",15,15,"Nyakach 1 (Aiyoo East)_siteSet_1"
"Prodeinotherium hobleyi","Africa",15,15,"Nyakach 10 (Kaimogool North)_siteSet_1"
"Prodeinotherium hobleyi","Africa",15,15,"Nyakach 11 (Kaimogool South)_siteSet_1"
"Prodeinotherium hobleyi","Africa",15,15,"Nyakach 12 (Kaplelatet)_siteSet_1"
"Prodeinotherium hobleyi","Africa",15,15,"Nyakach 14 (Koimoroon 1)_siteSet_1"
"Prodeinotherium hobleyi","Africa",15,15,"Nyakach 19 (Pundo)_siteSet_1"
"Prodeinotherium hobleyi","Africa",15,15,"Nyakach 2 (Aiyoo West)_siteSet_1"
"Prodeinotherium hobleyi","Africa",15,15,"Nyakach 20 (Ramogi)_siteSet_1"
"Prodeinotherium hobleyi","Africa",15,15,"Nyakach 9 (Kaimogool East)_siteSet_1"
"Protanancus brevirostris","Asia",13.5,15,"Dalanggou (Hongliugou Fm, Linxia Bs)_siteSet_1"
"Aphanobelodon zhaoi","Asia",13.5,15,"Maerzuizigou_siteSet_1"
"Choerolophodon guangheensis","Asia",13.5,15,"Dalanggou (Hongliugou Fm, Linxia Bs)_siteSet_1"
"Protanancus tobieni","Asia",13.5,15,"Tongxin-dingjiaergou_siteSet_1"
"Eubelodon morrilli","North America",12.5,14.8,"Central Great Plains CP114C_siteSet_1"
"Miomastodon proavus","North America",12.5,14.8,"Central Great Plains CP56_siteSet_1"
"Eubelodon morrilli","North America",12.5,14.8,"Central Great Plains CP87B_siteSet_1"
"Miomastodon proavus","North America",12.5,14.8,"Northern Great Plains NP11_siteSet_1"
"Megabelodon joraki","North America",12.5,14.8,"Southern Great Basin SB32D_siteSet_1"
"Gomphotherium angustidens","Asia",12.85,14.2,"Al Jadidah_siteSet_1"
"Gomphotherium angustidens","Europe",12.85,14.2,"Alhambra-Túneles_siteSet_1"
"Archaeobelodon filholi","Europe",12.85,14.2,"Castelnau-d'Arbieu_siteSet_1"
"Gomphotherium angustidens","Europe",12.85,14.2,"Castelnau-d'Arbieu_siteSet_1"
"Miomastodon proavus","Asia",11.2,14.2,"Catakbagyaka_siteSet_1"
"Zygolophodon turicensis","Europe",12.85,14.2,"Devínská Nová Ves - Bonanza_siteSet_1"
"Zygolophodon turicensis","Europe",12.85,14.2,"Devínská Nová Ves - Fissures_siteSet_1"
"Deinotherium giganteum","Europe",11.2,14.2,"Devínská Nová Ves - Sandhill_siteSet_1"
"Zygolophodon turicensis","Europe",11.2,14.2,"Devínská Nová Ves - Sandhill_siteSet_1"
"Protanancus macinnesi","Africa",12.85,14.2,"Maboko_siteSet_2"
"Zygolophodon turicensis","Europe",12.85,14.2,"Elgg_siteSet_1"
"Gomphotherium angustidens","Europe",12.85,14.2,"Haulies_siteSet_1"
"Zygolophodon turicensis","Europe",12.85,14.2,"Haulies_siteSet_1"
"Gomphotherium angustidens","Asia",12.85,14.2,"Inönü I (Sinap 24A)_siteSet_1"
"Deinotherium giganteum","Europe",12.85,14.2,"L'Isle-de-Nöé_siteSet_1"
"Gomphotherium angustidens","Europe",12.85,14.2,"Laymont_siteSet_1"
"Deinotherium giganteum","Europe",12.85,14.2,"Lazarevac_siteSet_1"
"Gomphotherium angustidens","Europe",12.85,14.2,"Lussan_siteSet_1"
"Zygolophodon turicensis","Europe",12.85,14.2,"Marciac_siteSet_1"
"Deinotherium giganteum","Europe",12.85,14.2,"Miélan_siteSet_1"
"Gomphotherium angustidens","Europe",12.85,14.2,"Miélan_siteSet_1"
"Zygolophodon turicensis","Europe",12.85,14.2,"Miélan_siteSet_1"
"Zygolophodon turicensis","Europe",12.85,14.2,"Montesquiou-sur-L'Osse_siteSet_1"
"Zygolophodon turicensis","Europe",12.85,14.2,"Montpezat_siteSet_1"
"Gomphotherium angustidens","Europe",12.85,14.2,"Paracuellos 2_siteSet_1"
"Gomphotherium angustidens","Europe",12.85,14.2,"Paracuellos 3_siteSet_1"
"Gomphotherium angustidens","Europe",12.85,14.2,"Paracuellos 5_siteSet_1"
"Deinotherium levius","Asia",12.85,14.2,"Pasalar_siteSet_1"
"Deinotherium giganteum","Europe",12.85,14.2,"Ponsampère_siteSet_1"
"Gomphotherium angustidens","Europe",12.85,14.2,"Prebreza_siteSet_1"
"Zygolophodon turicensis","Europe",11.2,14.2,"Rajégats_siteSet_1"
"Zygolophodon turicensis","Europe",12.85,14.2,"Roquelaure_siteSet_1"
"Prodeinotherium bavaricum","Europe",12.85,14.2,"Castelnau-d'Arbieu_siteSet_1"
"Prodeinotherium bavaricum","Europe",12.85,14.2,"Devínská Nová Ves - Fissures_siteSet_1"
"Prodeinotherium bavaricum","Europe",11.2,14.2,"Devínská Nová Ves - Sandhill_siteSet_1"
"Prodeinotherium bavaricum","Europe",12.85,14.2,"Laymont_siteSet_1"
"Prodeinotherium bavaricum","Europe",12.85,14.2,"Lussan_siteSet_1"
"Prodeinotherium bavaricum","Europe",12.85,14.2,"Sansan_siteSet_1"
"Prodeinotherium bavaricum","Europe",11.2,14.2,"Simorre_siteSet_1"
"Prodeinotherium bavaricum","Europe",12.85,14.2,"Thannhausen_siteSet_1"
"Archaeobelodon filholi","Europe",12.85,14.2,"Sansan_siteSet_1"
"Deinotherium giganteum","Europe",12.85,14.2,"Sansan_siteSet_1"
"Gomphotherium angustidens","Europe",12.85,14.2,"Sansan_siteSet_1"
"Zygolophodon turicensis","Europe",12.85,14.2,"Sansan_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,14.2,"Simorre_siteSet_1"
"Zygolophodon turicensis","Europe",11.2,14.2,"Simorre_siteSet_1"
"Deinotherium giganteum","Europe",12.85,14.2,"Stätzling_siteSet_1"
"Prodeinotherium hobleyi","Africa",12.85,14.2,"Kipsaramon 1_siteSet_2"
"Prodeinotherium hobleyi","Africa",12.85,14.2,"Maboko_siteSet_2"
"Platybelodon grangeri","Asia",12.85,14.2,"Tairum Nor_siteSet_1"
"Platybelodon tongxinensis","Asia",12.85,14.2,"Tongxin_siteSet_1"
"Gomphotherium subtapiroideum","Europe",13.5,14,"Sandelzhausen_siteSet_1"
"Zygolophodon turicensis","Europe",13.5,14,"Sandelzhausen_siteSet_1"
"Protanancus macinnesi","Africa",12.4,14,"Alengerr beds_siteSet_1"
"Choerolophodon ngorora","Africa",13.9,14,"Fort Ternan 1 (Kapsibor)_siteSet_1"
"Choerolophodon ngorora","Africa",13.9,14,"Fort Ternan 2 (Serek)_siteSet_1"
"Prodeinotherium hobleyi","Africa",12.4,14,"Alengerr beds_siteSet_1"
"Choerolophodon ngorora","Africa",11.63,13.82,"Ngorora 3_siteSet_1"
"Afrochoerodon kisumuensis","Africa",11.63,13.82,"Nyakach 11 (Kaimogool South)_siteSet_2"
"Gomphotherium productum","North America",11.63,13.82,"Chesapeake Bay (Upper Calvert)_siteSet_1"
"Gomphotherium productum","North America",11.63,13.82,"Stratford Hall, Serravallian_siteSet_1"
"Choerolophodon ngorora","Africa",13.7,13.8,"Fort Ternan_siteSet_1"
"Protanancus macinnesi","Africa",13.7,13.8,"Fort Ternan_siteSet_1"
"Prodeinotherium hobleyi","Africa",13.7,13.8,"Fort Ternan_siteSet_1"
"Deinotherium giganteum","Europe",11.5,13.6,"Krivoj Rog_siteSet_1"
"Deinotherium giganteum","Europe",11.5,13.6,"Wiesen_siteSet_1"
"Platybelodon grangeri","Asia",11.1,13.5,"Laogou - Hujialiang Formation_siteSet_1"
"Miomastodon gobiensis","Asia",11.1,13.5,"Laogou - Hujialiang Formation_siteSet_1"
"Gomphotherium tassyi","Asia",11.1,13.5,"Laogou - Hujialiang Formation_siteSet_1"
"Platybelodon grangeri","Asia",11.1,13.5,"Zengjia - Hujialiang Formation_siteSet_1"
"Gomphotherium tassyi","Asia",11.1,13.5,"Zengjia - Hujialiang Formation_siteSet_1"
"Gomphotherium browni","Asia",13.094,13.263,"Mae Moh_siteSet_1"
"Stegolophodon latidens","Asia",13.094,13.263,"Mae Moh_siteSet_1"
"Gomphotherium angustidens","Africa",11,13,"Cherichera_siteSet_1"
"Tetralophodon longirostris","Africa",11,13,"Cherichera_siteSet_1"
"Prodeinotherium hobleyi","Africa",11,13,"Cherichera_siteSet_1"
"Gomphotherium angustidens","Europe",12.2,12.9,"Apostolovo (Zheltokamenka)_siteSet_1"
"Gomphotherium angustidens","Europe",9.5,12.85,"Achldorf_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Alan (N.D. de Lorette)_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Alan (Pompat)_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Alan (Pompat)_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Bachas_siteSet_1"
"Zygolophodon turicensis","Europe",11.2,12.85,"Bachas_siteSet_1"
"Zygolophodon turicensis","Europe",11.2,12.85,"Benavente_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Bézues-Bajon_siteSet_1"
"Zygolophodon turicensis","Europe",9.5,12.85,"Breitenbrunn_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Can Feliu_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,12.85,"Can Missert_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Cassagnabère_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Cassagnabère_siteSet_1"
"Zygolophodon turicensis","Europe",11.2,12.85,"Castelgaillard_siteSet_1"
"Deinotherium giganteum","Europe",9.5,12.85,"Castell de Barberà_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Cestas superieur_siteSet_1"
"Tetralophodon xiaolongtanensis","Asia",11.2,12.85,"Chiang Muan_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Collet-Redon_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Coueilles (Baguent)_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Coueilles (Baguent)_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Coueilles (Rte de Riolas)_siteSet_1"
"Deinotherium giganteum","Europe",9.5,12.85,"Edeleny_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"En Péjouan_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Escanecrabe_siteSet_1"
"Gomphotherium angustidens","Europe",9.5,12.85,"Giggenhausen_siteSet_1"
"Gomphotherium steinheimense","Europe",9.5,12.85,"Giggenhausen_siteSet_1"
"Gomphotherium steinheimense","Europe",9.5,12.85,"Grosslappen (Flinz)_siteSet_1"
"Gomphotherium steinheimense","Europe",9.5,12.85,"Gweng bei Mühldorf_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Hachan_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Hachan_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Hostalets de Pierola Inferior_siteSet_1"
"Tetralophodon longirostris","Europe",11.2,12.85,"Hostalets de Pierola Inferior_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"La Ciesma 1_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"La Cisterniga_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"La Grive L3_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"La Grive L3_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"La Grive L5_siteSet_1"
"Zygolophodon turicensis","Europe",11.2,12.85,"La Grive M_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"La Grive PB A_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"La Grive PB J_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"La Grive St. Alban_siteSet_1"
"Platybelodon danovi","Asia",11.2,12.85,"Lintong-lengshuigou_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Lussan-Adeilhac_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Lussan-Adeilhac_siteSet_1"
"Zygolophodon turicensis","Europe",11.2,12.85,"Malartic_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Mannersdorf_siteSet_1"
"Tetralophodon longirostris","Europe",11.2,12.85,"Mannersdorf_siteSet_1"
"Gomphotherium steinheimense","Europe",11.2,12.85,"Markt Indersdorf_siteSet_1"
"Deinotherium giganteum","Europe",9.5,12.85,"Massenhausen_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,12.85,"Massenhausen_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Minisu de Sus_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Minisu de Sus_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Mondavezan_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Nogaro_siteSet_1"
"Zygolophodon turicensis","Europe",11.2,12.85,"Novaky (Mine Mier)_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Péguilhan_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Péguilhan_siteSet_1"
"Archaeobelodon filholi","Europe",11.2,12.85,"Poudenas-Cayron_siteSet_1"
"Zygolophodon turicensis","Europe",11.2,12.85,"Poudenas-Cayron_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Saint-Gaudens (Les Pujaments)_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Saint-Gaudens (Valentine)_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Saint-Gaudens (Valentine)_siteSet_1"
"Zygolophodon turicensis","Europe",11.2,12.85,"Saint-Gaudens (Valentine)_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Saman_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Samouillan_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Sant Quirze_siteSet_1"
"Tetralophodon longirostris","Europe",11.2,12.85,"Sant Quirze_siteSet_1"
"Gomphotherium angustidens","Asia",11.2,12.85,"Saricay_siteSet_1"
"Anancus arvernensis","Europe",11.2,12.85,"Serbian lake_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Serbian lake_siteSet_1"
"Zygolophodon turicensis","Europe",11.2,12.85,"Serbian lake_siteSet_1"
"Choerolophodon pentelici","Asia",11.2,12.85,"Sofca_siteSet_1"
"Protanancus chinjiensis","Asia",11.2,12.85,"Tha Chang 1_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Toril 3A_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Toril 3B_siteSet_1"
"Platybelodon grangeri","Asia",11.2,12.85,"Tunggur- DA_siteSet_1"
"Platybelodon grangeri","Asia",11.2,12.85,"Tunggur- HU_siteSet_1"
"Platybelodon grangeri","Asia",11.2,12.85,"Tunggur- MC_siteSet_1"
"Platybelodon grangeri","Asia",11.2,12.85,"Tunggur- MOII_siteSet_1"
"Platybelodon grangeri","Asia",11.2,12.85,"Tunggur- PQ_siteSet_1"
"Platybelodon grangeri","Asia",11.2,12.85,"Tunggur- TMS_siteSet_1"
"Miomastodon gobiensis","Asia",11.2,12.85,"Tunggur- ZH_siteSet_1"
"Platybelodon grangeri","Asia",11.2,12.85,"Tunggur-AC_siteSet_1"
"Miomastodon gobiensis","Asia",11.2,12.85,"Tunggur-Moergen_siteSet_1"
"Platybelodon grangeri","Asia",11.2,12.85,"Tunggur-Moergen_siteSet_1"
"Platybelodon grangeri","Asia",11.2,12.85,"Tunggur-WC_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Türkenschanze (WIEN)_siteSet_1"
"Prodeinotherium bavaricum","Europe",11.2,12.85,"Benningen_siteSet_1"
"Prodeinotherium pentapotamiae","Asia",11.2,12.85,"Dang Valley_siteSet_1"
"Prodeinotherium bavaricum","Europe",9.5,12.85,"Edeleny_siteSet_1"
"Prodeinotherium bavaricum","Europe",11.2,12.85,"Helsighausen_siteSet_1"
"Prodeinotherium bavaricum","Europe",11.2,12.85,"Saint-Gaudens (Les Pujaments)_siteSet_1"
"Prodeinotherium bavaricum","Europe",11.2,12.85,"Saint-Gaudens (Valentine)_siteSet_1"
"Gomphotherium angustidens","Europe",11.2,12.85,"Villefranche d'Astarac_siteSet_1"
"Deinotherium giganteum","Europe",8.2,12.85,"Wissberg_siteSet_1"
"Tetralophodon longirostris","Europe",8.2,12.85,"Wissberg_siteSet_1"
"Deinotherium giganteum","Europe",11.2,12.85,"Cerro del Otero_siteSet_1"
"Gomphotherium tassyi","Asia",11.1,12.85,"Zhujiachuan - Hujialiang Formation_siteSet_1"
"Eubelodon morrilli","North America",12.1,12.5,"Central Great Plains CP114D_siteSet_1"
"Megabelodon lulli","North America",12.1,12.5,"Central Great Plains CP114D_siteSet_1"
"Miomastodon gobiensis","Asia",11.2,12.5,"Fangxian_siteSet_1"
"Tetralophodon xiaolongtanensis","Asia",11.2,12.5,"Kaiyuan-Xiaolongtan_siteSet_1"
"Zygolophodon chinjiensis","Asia",11.2,12.5,"Kaiyuan-Xiaolongtan_siteSet_1"
"Platybelodon grangeri","Asia",11.2,12.5,"Lantian-gaopo-64004_siteSet_1"
"Gomphotherium subtapiroideum","Asia",11.2,12.5,"Lantian-gaopo-64008_siteSet_1"
"Platybelodon grangeri","Asia",11.2,12.5,"Lantian-gaopo-64008_siteSet_1"
"Gomphotherium wimani","Asia",11.2,12.5,"Lanzhou-Quantougou_siteSet_1"
"Gomphotherium wimani","Asia",11.2,12.5,"Minhe-lierbao_siteSet_1"
"Gomphotherium wimani","Asia",11.2,12.5,"Minhe-nanhawangou_siteSet_1"
"Gomphotherium productum","North America",10.3,12.4,"Avawatz Mountains_siteSet_1"
"Gomphotherium productum","North America",10.3,12.4,"Bromley Ranch_siteSet_1"
"Gomphotherium productum","North America",10.3,12.4,"Burge Quarry_siteSet_1"
"Serbelodon burnhami","North America",10.3,12.4,"Dove Spring (Lower)_siteSet_1"
"Serbelodon burnhami","North America",10.3,12.4,"Dove Spring (Middle)_siteSet_1"
"Serbelodon burnhami","North America",10.3,12.4,"Iron Canyon (Upper)_siteSet_1"
"Gomphotherium productum","North America",10.3,12.4,"Megabelodon Quarry_siteSet_1"
"Torynobelodon barnumbrowni","North America",10.3,12.4,"Platybelodon Quarry_siteSet_1"
"Gomphotherium productum","North America",10.3,12.4,"Quinn Mastodon Quarry_siteSet_1"
"Serbelodon burnhami","North America",10.3,12.4,"Ricardo_siteSet_1"
"Gomphotherium productum","North America",10.3,12.4,"Rock Ledge Mastodon Quarry_siteSet_1"
"Gomphotherium productum","North America",10.3,12.4,"Roglove_siteSet_1"
"Gomphotherium productum","North America",10.3,12.4,"Trilophodon giganteus Site_siteSet_1"
"Serbelodon barbourensis","North America",10.3,12.4,"Xmas Quarry_siteSet_1"
"Tetralophodon longirostris","Europe",11.5,12.2,"Mitridat mt_siteSet_1"
"Eubelodon morrilli","North America",10.1,12.1,"Central Great Plains CP116A_siteSet_1"
"Pediolophodon campester","North America",9,12.1,"Central Great Plains CP116B_siteSet_1"
"Pediolophodon campester","North America",10.1,12.1,"Central Great Plains CP123A_siteSet_1"
"Gnathabelodon buckneri","North America",10.1,12.1,"Gulf Coast GC6A_siteSet_1"
"Megabelodon minor","North America",10.1,12.1,"Gulf Coast GC6B_siteSet_1"
"Pediolophodon campester","North America",10.1,12.1,"Southern Great Plains SP2A_siteSet_1"
"Deinotherium giganteum","Europe",11.434,11.852,"Barranc de Can Vila 1_siteSet_1"
"Choerolophodon ngorora","Africa",7.25,11.63,"Ngorora 12_siteSet_1"
"Choerolophodon ngorora","Africa",7.25,11.63,"Ngorora 9_siteSet_1"
"Prodeinotherium hobleyi","Africa",7.25,11.63,"Sbeitla_siteSet_1"
"Choerolophodon corrugatus","Asia",7,11.62,"Zinda pir 4_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Angern_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Bergau (Hollabrunn)_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Ebendorf bei Mistelbach_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Eibestal bei Mistelbach_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Enzersdorf bei Mödling_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Hohenwart bei Muhlbach_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Josefsberg bei Hollabrunn_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Mannersdorf bei Angern_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Paasdorf bei Mistelbach_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Prottes_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Schwechat_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Weikendorf bei Gänserndorf_siteSet_1"
"Prodeinotherium bavaricum","Europe",7.1,11.5,"Thallern_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Wienerbecken_siteSet_1"
"Prodeinotherium bavaricum","Europe",7.1,11.5,"Wilfersdorf_siteSet_1"
"Deinotherium giganteum","Europe",7.1,11.5,"Wolfau_siteSet_1"
"Konobelodon robustus","Asia",9.7,11.5,"Guonigou (LX200042) - Liushu Fm_siteSet_1"
"Choerolophodon pentelici","Asia",7.1,11.2,"Akcaköy (1-6)_siteSet_1"
"Choerolophodon pentelici","Asia",8.2,11.2,"Akin_siteSet_1"
"Gomphotherium angustidens","Asia",9.5,11.2,"Arapli (Igdebaglar)_siteSet_1"
"Platybelodon danovi","Asia",9.5,11.2,"Arapli (Igdebaglar)_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Atavaska_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Atzelsdorf_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Atzelsdorf_siteSet_1"
"Gomphotherium angustidens","Europe",9.5,11.2,"Bermersheim_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Bermersheim_siteSet_1"
"Zygolophodon turicensis","Europe",9.5,11.2,"Bermersheim_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Bonnefont_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Breitenfeld_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Breitenfeld_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Can Ponsic I_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Charmoille_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Charmoille_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Dinotheriensande_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Dinotheriensande_siteSet_1"
"Zygolophodon turicensis","Europe",9.5,11.2,"Dinotheriensande_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Dintesheim_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Draxeni_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Eppelsheim_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Eppelsheim_siteSet_1"
"Zygolophodon turicensis","Asia",10.1,11.2,"Ermak_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Esselborn_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Esselborn_siteSet_1"
"Zygolophodon turicensis","Europe",9.5,11.2,"Esselborn_siteSet_1"
"Tetralophodon longirostris","Europe",9.5,11.2,"Estevar_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Esvres - Upper Faluns_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Gaiselberg_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Gau-Weinheim_siteSet_1"
"Gomphotherium angustidens","Europe",9.5,11.2,"Gau-Weinheim_siteSet_1"
"Zygolophodon turicensis","Europe",9.5,11.2,"Gau-Weinheim_siteSet_1"
"Paratetralophodon exoletus","Asia",9.5,11.2,"Guonigou_siteSet_1"
"Deinotherium giganteum","Europe",9.5,11.2,"Hinterauerbach_siteSet_1"
