Taxon	Status	MinAge	MaxAge	Site
Zygolophodon_turicensis	extinct	14.2	16.4	680
Gomphotherium_angustidens	extinct	14.2	16.4	764
Gomphotherium_angustidens	extinct	14.2	16.4	771
Zygolophodon_turicensis	extinct	14.2	16.4	771
Gomphotherium_angustidens	extinct	14.2	16.4	775
Gomphotherium_angustidens	extinct	14.2	16.4	808
Zygolophodon_turicensis	extinct	14.2	16.4	808
Gomphotherium_angustidens	extinct	14.2	16.4	861
Prodeinotherium_bavaricum	extinct	12.5	16.4	54
Prodeinotherium_bavaricum	extinct	14.2	16.4	136
Prodeinotherium_bavaricum	extinct	14.2	16.4	146
Prodeinotherium_bavaricum	extinct	14.2	16.4	150
Prodeinotherium_bavaricum	extinct	14.2	16.4	184
Prodeinotherium_bavaricum	extinct	14.2	16.4	271
Prodeinotherium_bavaricum	extinct	14.2	16.4	274
Prodeinotherium_bavaricum	extinct	14.2	16.4	281
Gomphotherium_angustidens	extinct	14.2	16.4	978
Prodeinotherium_bavaricum	extinct	14.2	16.4	309
Prodeinotherium_bavaricum	extinct	14.2	16.4	329
Prodeinotherium_bavaricum	extinct	14.2	16.4	335
Prodeinotherium_bavaricum	extinct	12.5	16.4	365
Prodeinotherium_bavaricum	extinct	14.2	16.4	411
Prodeinotherium_bavaricum	extinct	14.2	16.4	428
Prodeinotherium_bavaricum	extinct	14.2	16.4	437
Prodeinotherium_bavaricum	extinct	14.2	16.4	471
Prodeinotherium_bavaricum	extinct	14.2	16.4	493
Archaeobelodon_filholi	extinct	14.2	16.4	1051
Gomphotherium_angustidens	extinct	14.2	16.4	1051
Prodeinotherium_bavaricum	extinct	14.2	16.4	494
Zygolophodon_turicensis	extinct	14.2	16.4	1051
Prodeinotherium_bavaricum	extinct	14.2	16.4	507
Prodeinotherium_bavaricum	extinct	14.2	16.4	519
Prodeinotherium_bavaricum	extinct	14.2	16.4	597
Prodeinotherium_bavaricum	extinct	14.2	16.4	764
Prodeinotherium_pentapotamiae	extinct	14.2	16.4	898
Prodeinotherium_pentapotamiae	extinct	14.2	16.4	899
Prodeinotherium_bavaricum	extinct	14.2	16.4	936
Prodeinotherium_bavaricum	extinct	14.2	16.4	943
