Age	Paleotemperature
0	-1.48839728158787
0.002	-1.55249283030332
0.004	-1.5076259462025
0.006	-1.85630573121455
0.008	-2.05243811028383
0.01	-3.28948220049204
0.012	-3.15488154818959
0.014	-3.8381400974963
0.016	-3.80865614508719
0.018	-3.74071486344881
0.02	-3.5971408343262
0.022	-3.44972107228067
0.024	-3.41510947597432
0.026	-3.28691837854342
0.028	-3.29589175536358
0.03	-3.35357774920749
0.032	-3.1702644798813
0.034	-3.17667403475285
0.036	-3.04591911537333
0.038	-3.0715573348595
0.04	-3.07796688973105
0.042	-3.1420624384465
0.044	-2.96900445691478
0.046	-3.02925427270731
0.048	-3.03950956050178
0.05	-3.03950956050178
0.052	-3.03950956050178
0.054	-2.90875464112226
0.056	-3.02669045075869
0.058	-3.05232867024487
0.06	-3.22795047372521
0.062	-3.31127468705529
0.064	-3.2702535358774
0.066	-3.34716819433594
0.068	-3.09719555434569
0.07	-2.90875464112226
0.072	-2.78312736563998
0.074	-2.78312736563998
0.076	-2.57802160975053
0.078	-2.4882878415489
0.08	-2.37291585386109
0.082	-2.41137318309036
0.084	-2.30497457222271
0.086	-2.41137318309036
0.088	-2.5869949865707
0.09	-2.97541401178633
0.092	-2.76005296810241
0.094	-2.54597383539281
0.096	-2.69723933036127
0.098	-2.54597383539281
0.1	-2.53956428052126
0.102	-2.39214451847572
0.104	-2.11653365899929
0.106	-2.25754386617328
0.108	-2.2319056466871
0.11	-2.42419229283345
0.112	-2.51008032811216
0.114	-2.74467003641071
0.116	-2.66775537795216
0.118	-2.57802160975053
0.12	-2.5869949865707
0.122	-2.11653365899929
0.124	-1.88578968362366
0.126	-1.74093374352674
0.128	-1.47814199379339
0.13	-1.75503476424414
0.132	-2.43316566965361
0.134	-3.50997088807319
0.136	-3.67405549278474
0.138	-3.64200771842702
0.14	-3.77019881585792
0.142	-3.57406643678864
0.144	-3.62918860868393
0.146	-3.29589175536358
0.148	-3.33050335166993
0.15	-3.39844463330831
0.152	-3.03950956050178
0.154	-3.4689497368953
0.156	-3.31768424192684
0.158	-3.10360510921723
0.16	-3.19333887741886
0.162	-3.13308906162634
0.164	-3.12924332870341
0.166	-3.06130204706503
0.168	-2.99207885445235
0.17	-2.94977579230015
0.172	-3.02669045075869
0.174	-3.06514777998796
0.176	-3.19333887741886
0.178	-3.00105223127251
0.18	-3.09719555434569
0.182	-3.15488154818959
0.184	-3.16385492500975
0.186	-3.17411021280423
0.188	-2.94977579230015
0.19	-2.4023998062702
0.192	-2.52033561590663
0.194	-2.17421965284319
0.196	-2.17678347479181
0.198	-2.02936371274627
0.2	-1.95757669818497
0.202	-1.88578968362366
0.204	-2.09089543951311
0.206	-2.07166677489847
0.208	-2.05243811028383
0.21	-2.00116167131147
0.212	-2.02679989079765
0.214	-2.05243811028383
0.216	-1.97808727377391
0.218	-1.90245452628968
0.22	-1.86399719706041
0.222	-1.99347020546562
0.224	-2.12294321387083
0.226	-2.80235603025461
0.228	-2.94593005937722
0.23	-2.96644063496617
0.232	-2.98823312152942
0.234	-2.63570760359444
0.236	-2.89849935332779
0.238	-2.52289943785524
0.24	-2.2319056466871
0.242	-2.50110695129199
0.244	-1.6640190850682
0.246	-2.50495268421492
0.248	-3.00105223127251
0.25	-2.82158469486925
0.252	-3.32793952972131
0.254	-3.34716819433594
0.256	-3.25358869321139
0.258	-3.22538665177659
0.26	-3.06130204706503
0.262	-3.06899351291089
0.264	-3.13949861649788
0.266	-3.12283377383187
0.268	-3.19333887741886
0.27	-3.28307264562049
0.272	-3.28307264562049
0.274	-3.14462626039512
0.276	-3.20615798716195
0.278	-3.11642421896032
0.28	-2.98182356665787
0.282	-2.84722291435543
0.284	-2.71262226205298
0.286	-2.6010960072881
0.288	-2.4882878415489
0.29	-2.59084071949362
0.292	-2.02679989079765
0.294	-2.74467003641071
0.296	-2.96259490204324
0.298	-3.11642421896032
0.3	-2.74467003641071
0.302	-3.03950956050178
0.304	-2.87286113384161
0.306	-2.6869840425668
0.308	-2.62673422677428
0.31	-2.56520250000744
0.312	-2.360096744118
0.314	-2.97541401178633
0.316	-2.4882878415489
0.318	-2.00116167131147
0.32	-2.19985787232937
0.322	-2.0332094456692
0.324	-2.25754386617328
0.326	-1.52685461081714
0.328	-1.56531194004641
0.33	-1.59095015953259
0.332	-1.41148262312932
0.334	-1.12946220878134
0.336	-1.40250924630916
0.338	-2.33445852463182
0.34	-2.65237244626046
0.342	-2.9715682788634
0.344	-3.28948220049204
0.346	-3.64200771842702
0.348	-2.64211715846598
0.35	-3.39844463330831
0.352	-3.07796688973105
0.354	-3.21897709690504
0.356	-3.10360510921723
0.358	-3.2702535358774
0.36	-3.25102487126277
0.362	-3.23179620664813
0.364	-3.25743442613431
0.366	-3.28307264562049
0.368	-3.16129110306114
0.37	-2.96259490204324
0.372	-3.0138713410156
0.374	-3.05232867024487
0.376	-3.00105223127251
0.378	-2.79979220830599
0.38	-2.70621270718143
0.382	-2.97541401178633
0.384	-2.67672875477233
0.386	-2.87286113384161
0.388	-2.64211715846598
0.39	-2.47162299888288
0.392	-2.51392606103508
0.394	-2.48187828667736
0.396	-2.20626742720092
0.398	-2.42419229283345
0.4	-2.2742087088393
0.402	-1.77041769593585
0.404	-1.39225395851469
0.406	-1.96911389695375
0.408	-1.59095015953259
0.41	-1.3371317866194
0.412	-1.68965730455438
0.414	-1.85630573121455
0.416	-2.65493626820907
0.418	-2.76774443394827
0.42	-2.74467003641071
0.422	-2.72159563887314
0.424	-3.84583156334215
0.426	-3.7253319317571
0.428	-3.14590817136943
0.43	-3.14462626039512
0.432	-3.40998183207709
0.434	-3.33050335166993
0.436	-3.39844463330831
0.438	-3.27409926880033
0.44	-3.26256207003155
0.442	-3.25102487126277
0.444	-2.93695668255706
0.446	-2.93054712768551
0.448	-2.92413757281397
0.45	-3.0138713410156
0.452	-3.10360510921723
0.454	-3.19333887741886
0.456	-3.33434908459285
0.458	-3.06899351291089
0.46	-2.80491985220323
0.462	-2.53956428052126
0.464	-3.12924332870341
0.466	-3.05873822511642
0.468	-2.88824406553332
0.47	-2.71903181692453
0.472	-2.7574891461538
0.474	-2.56520250000744
0.476	-2.49469739642045
0.478	-2.42291038185914
0.48	-2.35240527827215
0.482	-2.28190017468515
0.484	-2.21011316012384
0.486	-2.360096744118
0.488	-1.86656101900903
0.49	-1.9627043420822
0.492	-2.05884766515538
0.494	-2.08448588464156
0.496	-2.11653365899929
0.498	-2.8856802435847
0.5	-2.53187281467541
0.502	-2.42419229283345
0.504	-2.44983051231963
0.506	-2.73185092666762
0.508	-2.47931446472874
0.51	-2.46905917693427
0.512	-2.50110695129199
0.514	-2.46264962206272
0.516	-2.44983051231963
0.518	-2.34984145632353
0.52	-2.46264962206272
0.522	-2.38573496360418
0.524	-2.60750556215964
0.526	-2.52418134882955
0.528	-2.76005296810241
0.53	-2.91003655209657
0.532	-3.10745084214016
0.534	-3.32409379679838
0.536	-3.21641327495642
0.538	-3.24717913833984
0.54	-3.19333887741886
0.542	-3.15103581526666
0.544	-3.00489796419544
0.546	-2.96259490204324
0.548	-2.74467003641071
0.55	-2.73569665959054
0.552	-2.87286113384161
0.554	-2.38573496360418
0.556	-2.50110695129199
0.558	-2.70621270718143
0.56	-1.74477947644967
0.562	-2.71262226205298
0.564	-2.289591640531
0.566	-2.73185092666762
0.568	-2.31266603806857
0.57	-1.74477947644967
0.572	-1.96526816403082
0.574	-1.86015146413748
0.576	-1.7768272508074
0.578	-1.74093374352674
0.58	-1.53967372056023
0.582	-2.1755015638175
0.584	-2.73185092666762
0.586	-2.76774443394827
0.588	-2.82799424974079
0.59	-2.85106864727835
0.592	-3.28307264562049
0.594	-2.74467003641071
0.596	-2.56520250000744
0.598	-2.46649535498565
0.6	-2.57673969877622
0.602	-2.53443663662403
0.604	-2.38573496360418
0.606	-2.50367077324061
0.608	-2.30882030514564
0.61	-2.14858143335701
0.612	-2.27677253078791
0.614	-2.08576779561587
0.616	-1.88450777264935
0.618	-1.8768163068035
0.62	-2.02936371274627
0.622	-2.36522438801524
0.624	-3.12283377383187
0.626	-2.51008032811216
0.628	-3.71892237688556
0.63	-3.8958260913402
0.632	-3.88300698159711
0.634	-3.92146431082638
0.636	-3.78686365852394
0.638	-3.77917219267809
0.64	-3.6676459379132
0.642	-3.60483230017206
0.644	-3.60995994406929
0.646	-3.51894426489335
0.648	-3.42151903084587
0.65	-3.39203507843676
0.652	-3.45741253812652
0.654	-3.30486513218375
0.656	-3.34973201628456
0.658	-3.27666309074895
0.66	-3.23436002859675
0.662	-3.24333340541691
0.664	-3.25743442613431
0.666	-3.09334982142276
0.668	-3.39844463330831
0.67	-3.23948767249399
0.672	-3.08950408849983
0.674	-3.21897709690504
0.676	-3.09463173239707
0.678	-2.6164789389798
0.68	-2.97541401178633
0.682	-2.91516419599381
0.684	-3.0138713410156
0.686	-2.76902634492258
0.688	-2.20626742720092
0.69	-2.36137865509231
0.692	-2.52033561590663
0.694	-2.23831520155864
0.696	-2.24857048935312
0.698	-2.20242169427799
0.7	-2.02423606884904
0.702	-2.02039033592611
0.704	-2.13960805653685
0.706	-1.93706612259602
0.708	-2.07294868587278
0.71	-2.33574043560613
0.712	-2.37932540873263
0.714	-2.41393700503898
0.716	-2.30882030514564
0.718	-2.91516419599381
0.72	-2.78569118758859
0.722	-2.96515872399186
0.724	-3.13565288357496
0.726	-3.11257848603739
0.728	-2.8997812643021
0.73	-2.73697857056485
0.732	-2.58955880851931
0.734	-2.59340454144224
0.736	-2.59853218533948
0.738	-2.6446809804146
0.74	-2.76902634492258
0.742	-2.70621270718143
0.744	-3.15488154818959
0.746	-3.10488702019154
0.748	-3.35998730407904
0.75	-3.03310000563023
0.752	-3.17411021280423
0.754	-2.94464814840291
0.756	-3.08437644460259
0.758	-3.00874369711836
0.76	-2.97541401178633
0.762	-2.82799424974079
0.764	-2.86645157897006
0.766	-2.83696762656096
0.768	-2.55751103416159
0.77	-2.5587929451359
0.772	-2.62801613774858
0.774	-2.37676158678402
0.776	-2.27805444176222
0.778	-2.23831520155864
0.78	-1.83707706659992
0.782	-2.0050074042344
0.784	-2.09730499438465
0.786	-1.84733235439439
0.788	-1.62812557778755
0.79	-2.08704970659018
0.792	-2.25498004422466
