Age	Paleotemperature	Humans
0	-1.48839728158787	0
0.002	-1.55249283030332	0
0.004	-1.5076259462025	0
0.006	-1.85630573121455	0
0.008	-2.05243811028383	0
0.01	-3.28948220049204	0
0.012	-3.15488154818959	0
0.014	-3.8381400974963	0
0.016	-3.80865614508719	0
0.018	-3.74071486344881	0
0.02	-3.5971408343262	0
0.022	-3.44972107228067	0
0.024	-3.41510947597432	0
0.026	-3.28691837854342	0
0.028	-3.29589175536358	0
0.03	-3.35357774920749	0
0.032	-3.1702644798813	0
0.034	-3.17667403475285	0
0.036	-3.04591911537333	0
0.038	-3.0715573348595	0
0.04	-3.07796688973105	0
0.042	-3.1420624384465	0
0.044	-2.96900445691478	0
0.046	-3.02925427270731	0
0.048	-3.03950956050178	0
0.05	-3.03950956050178	0
0.052	-3.03950956050178	0
0.054	-2.90875464112226	0
0.056	-3.02669045075869	0
0.058	-3.05232867024487	0
0.06	-3.22795047372521	0
0.062	-3.31127468705529	0
0.064	-3.2702535358774	0
0.066	-3.34716819433594	0
0.068	-3.09719555434569	0
0.07	-2.90875464112226	0
0.072	-2.78312736563998	0
0.074	-2.78312736563998	0
0.076	-2.57802160975053	0
0.078	-2.4882878415489	0
0.08	-2.37291585386109	0
0.082	-2.41137318309036	0
0.084	-2.30497457222271	0
0.086	-2.41137318309036	0
0.088	-2.5869949865707	0
0.09	-2.97541401178633	0
0.092	-2.76005296810241	0
0.094	-2.54597383539281	0
0.096	-2.69723933036127	0
0.098	-2.54597383539281	0
0.1	-2.53956428052126	0
0.102	-2.39214451847572	0
0.104	-2.11653365899929	0
0.106	-2.25754386617328	0
0.108	-2.2319056466871	0
0.11	-2.42419229283345	0
0.112	-2.51008032811216	0
0.114	-2.74467003641071	0
0.116	-2.66775537795216	0
0.118	-2.57802160975053	0
0.12	-2.5869949865707	0
0.122	-2.11653365899929	0
0.124	-1.88578968362366	0
0.126	-1.74093374352674	0
0.128	-1.47814199379339	0
0.13	-1.75503476424414	0
0.132	-2.43316566965361	0
0.134	-3.50997088807319	0
0.136	-3.67405549278474	0
0.138	-3.64200771842702	0
0.14	-3.77019881585792	0
0.142	-3.57406643678864	0
0.144	-3.62918860868393	0
0.146	-3.29589175536358	0
0.148	-3.33050335166993	0
0.15	-3.39844463330831	0
0.152	-3.03950956050178	0
0.154	-3.4689497368953	0
0.156	-3.31768424192684	0
0.158	-3.10360510921723	0
0.16	-3.19333887741886	0
0.162	-3.13308906162634	0
0.164	-3.12924332870341	0
0.166	-3.06130204706503	0
0.168	-2.99207885445235	0
0.17	-2.94977579230015	0
0.172	-3.02669045075869	0
0.174	-3.06514777998796	0
0.176	-3.19333887741886	0
0.178	-3.00105223127251	0
0.18	-3.09719555434569	0
0.182	-3.15488154818959	0
0.184	-3.16385492500975	0
0.186	-3.17411021280423	0
0.188	-2.94977579230015	0
0.19	-2.4023998062702	0
0.192	-2.52033561590663	0
0.194	-2.17421965284319	0
0.196	-2.17678347479181	0
0.198	-2.02936371274627	0
0.2	-1.95757669818497	0
0.202	-1.88578968362366	0
0.204	-2.09089543951311	0
0.206	-2.07166677489847	0
0.208	-2.05243811028383	0
0.21	-2.00116167131147	0
0.212	-2.02679989079765	0
0.214	-2.05243811028383	0
0.216	-1.97808727377391	0
0.218	-1.90245452628968	0
0.22	-1.86399719706041	0
0.222	-1.99347020546562	0
0.224	-2.12294321387083	0
0.226	-2.80235603025461	0
0.228	-2.94593005937722	0
0.23	-2.96644063496617	0
0.232	-2.98823312152942	0
0.234	-2.63570760359444	0
0.236	-2.89849935332779	0
0.238	-2.52289943785524	0
0.24	-2.2319056466871	0
0.242	-2.50110695129199	0
0.244	-1.6640190850682	0
0.246	-2.50495268421492	0
0.248	-3.00105223127251	0
0.25	-2.82158469486925	0
0.252	-3.32793952972131	0
0.254	-3.34716819433594	0
0.256	-3.25358869321139	0
0.258	-3.22538665177659	0
0.26	-3.06130204706503	0
0.262	-3.06899351291089	0
0.264	-3.13949861649788	0
0.266	-3.12283377383187	0
0.268	-3.19333887741886	0
0.27	-3.28307264562049	0
0.272	-3.28307264562049	0
0.274	-3.14462626039512	0
0.276	-3.20615798716195	0
0.278	-3.11642421896032	0
0.28	-2.98182356665787	0
0.282	-2.84722291435543	0
0.284	-2.71262226205298	0
0.286	-2.6010960072881	0
0.288	-2.4882878415489	0
0.29	-2.59084071949362	0
0.292	-2.02679989079765	0
0.294	-2.74467003641071	0
0.296	-2.96259490204324	0
0.298	-3.11642421896032	0
0.3	-2.74467003641071	0
0.302	-3.03950956050178	0
0.304	-2.87286113384161	0
0.306	-2.6869840425668	0
0.308	-2.62673422677428	0
0.31	-2.56520250000744	0
0.312	-2.360096744118	0
0.314	-2.97541401178633	0
0.316	-2.4882878415489	0
0.318	-2.00116167131147	0
0.32	-2.19985787232937	0
0.322	-2.0332094456692	0
0.324	-2.25754386617328	0
0.326	-1.52685461081714	0
0.328	-1.56531194004641	0
0.33	-1.59095015953259	0
0.332	-1.41148262312932	0
0.334	-1.12946220878134	0
0.336	-1.40250924630916	0
0.338	-2.33445852463182	0
0.34	-2.65237244626046	0
0.342	-2.9715682788634	0
0.344	-3.28948220049204	0
0.346	-3.64200771842702	0
0.348	-2.64211715846598	0
0.35	-3.39844463330831	0
0.352	-3.07796688973105	0
0.354	-3.21897709690504	0
0.356	-3.10360510921723	0
0.358	-3.2702535358774	0
0.36	-3.25102487126277	0
0.362	-3.23179620664813	0
0.364	-3.25743442613431	0
0.366	-3.28307264562049	0
0.368	-3.16129110306114	0
0.37	-2.96259490204324	0
0.372	-3.0138713410156	0
0.374	-3.05232867024487	0
0.376	-3.00105223127251	0
0.378	-2.79979220830599	0
0.38	-2.70621270718143	0
0.382	-2.97541401178633	0
0.384	-2.67672875477233	0
0.386	-2.87286113384161	0
0.388	-2.64211715846598	0
0.39	-2.47162299888288	0
0.392	-2.51392606103508	0
0.394	-2.48187828667736	0
0.396	-2.20626742720092	0
0.398	-2.42419229283345	0
0.4	-2.2742087088393	0
0.402	-1.77041769593585	0
0.404	-1.39225395851469	0
0.406	-1.96911389695375	0
0.408	-1.59095015953259	0
0.41	-1.3371317866194	0
