Species	BodySize	Africa	Americas	Eurasia	Island	Deinotheriidae	Elephantidae	Gomphotheriidae	Mammutidae	Stegodontidae	OtherFamilies
Gomphotherium_annectens	-1	0	0	1	0	0	0	1	0	0	0
Gomphotherium_basal	-2	1	0	0	0	0	0	1	0	0	0
Gomphotherium_browni	0	0	0	1	0	0	0	1	0	0	0
Gomphotherium_connexum	-1	0	0	1	0	0	0	1	0	0	0
Gomphotherium_cooperi	-1	0	0	1	0	0	0	1	0	0	0
Gomphotherium_hannibali	-1	0	0	1	0	0	0	1	0	0	0
Gomphotherium_inopinatum	-1	0	0	1	0	0	0	1	0	0	0
Gomphotherium_mongoliense	-1	0	0	1	0	0	0	1	0	0	0
Gomphotherium_productum	-1	0	1	0	0	0	0	1	0	0	0
Gomphotherium_steinheimense	1	0	0	1	0	0	0	1	0	0	0
Gomphotherium_subtapiroideum	-2	0	0	1	0	0	0	1	0	0	0
Gomphotherium_sylvaticum	-1	0	0	1	0	0	0	1	0	0	0
Gomphotherium_tassyi	-1	0	0	1	0	0	0	1	0	0	0
Gomphotherium_wimani	-1	0	0	1	0	0	0	1	0	0	0
Hemimastodon_crepusculi	-2	0	0	1	0	0	0	0	0	0	1
Konobelodon_atticus	0	0	0	1	0	0	0	1	0	0	0
Konobelodon_britti	1	0	1	0	0	0	0	1	0	0	0
Konobelodon_cyrenaicus	1	1	0	0	0	0	0	1	0	0	0
Konobelodon_robustus	0	0	0	1	0	0	0	1	0	0	0
Losodokodon_losodokius	-3	1	0	0	0	0	0	0	1	0	0
Loxodonta_adaurora	2	1	0	0	0	0	1	0	0	0	0
Loxodonta_africana	0	1	0	0	0	0	1	0	0	0	0
Loxodonta_atlantica	1	1	0	0	0	0	1	0	0	0	0
Loxodonta_cookei	0	1	0	0	0	0	1	0	0	0	0
Loxodonta_cyclotis	0	1	0	0	0	0	1	0	0	0	0
Loxodonta_exoptata	1	1	0	0	0	0	1	0	0	0	0
Mammut_americanum	1	0	1	0	0	0	0	0	1	0	0
Mammut_borsoni	2	1	0	1	0	0	0	0	1	0	0
Mammut_obliquelophus	2	1	0	1	0	0	0	0	1	0	0
Mammuthus_africanavus	0	1	0	0	0	0	1	0	0	0	0
Mammuthus_columbi	2	0	1	0	0	0	1	0	0	0	0
Mammuthus_creticus	-4	0	0	1	1	0	1	0	0	0	0
Mammuthus_exilis	-3	0	1	0	1	0	1	0	0	0	0
Mammuthus_gromovi	1	0	0	1	0	0	1	0	0	0	0
Mammuthus_lamarmorai	-3	0	0	1	1	0	1	0	0	0	0
Mammuthus_meridionalis	2	1	1	1	0	0	1	0	0	0	0
Mammuthus_primigenius	0	0	1	1	0	0	1	0	0	0	0
Mammuthus_protomammonteus	0	0	0	1	0	0	1	0	0	0	0
Mammuthus_rumanus	1	0	0	1	0	0	1	0	0	0	0
Mammuthus_subplanifrons	1	1	0	0	0	0	1	0	0	0	0
Mammuthus_trogontherii	2	0	0	1	0	0	1	0	0	0	0
Megabelodon_joraki	0	0	1	0	0	0	0	1	0	0	0
Megabelodon_lulli	0	0	1	0	0	0	0	1	0	0	0
Megabelodon_minor	-1	0	1	0	0	0	0	1	0	0	0
Miomastodon_gobiensis	0	0	0	1	0	0	0	0	1	0	0
Miomastodon_metachinjiensis	0	0	0	1	0	0	0	0	1	0	0
Miomastodon_proavus	0	0	1	1	0	0	0	0	1	0	0
Moeritherium_andrewsi	-4	1	0	0	0	0	0	0	0	0	1
Moeritherium_chehbeurameuri	-4	1	0	0	0	0	0	0	0	0	1
Moeritherium_lyonsi	-4	1	0	0	0	0	0	0	0	0	1
Moeritherium_trigodon	-3	1	0	0	0	0	0	0	0	0	1
Numidotherium_savagei	-3	1	0	0	0	0	0	0	0	0	1
Omanitherium_dhofarensis	-3	1	0	0	0	0	0	0	0	0	1
Palaeoloxodon_antiquus	2	0	0	1	0	0	1	0	0	0	0
Palaeoloxodon_creutzburgi	0	0	0	1	1	0	1	0	0	0	0
Palaeoloxodon_cypriotes	-4	0	0	1	1	0	1	0	0	0	0
Palaeoloxodon_falconeri	-4	0	0	1	1	0	1	0	0	0	0
Palaeoloxodon_jolensis	2	1	0	0	0	0	1	0	0	0	0
Palaeoloxodon_lomolinoi	-3	0	0	1	1	0	1	0	0	0	0
Palaeoloxodon_mnaidriensis	-2	0	0	1	1	0	1	0	0	0	0
Palaeoloxodon_namadicus	2	0	0	1	0	0	1	0	0	0	0
Palaeoloxodon_naumanni	1	0	0	1	0	0	1	0	0	0	0
Palaeoloxodon_recki	2	1	0	0	0	0	1	0	0	0	0
Palaeoloxodon_tiliensis	-3	0	0	1	1	0	1	0	0	0	0
Palaeomastodon_beadnelli	-2	1	0	0	0	0	0	0	0	0	1
Paratetralophodon_exoletus	0	0	0	1	0	0	0	1	0	0	0
Paratetralophodon_hasnotensis	0	0	0	1	0	0	0	1	0	0	0
Pediolophodon_campester	0	0	1	0	0	0	0	1	0	0	0
Phiomia_major	-2	1	0	0	0	0	0	0	0	0	1
Phiomia_serridens	-2	1	0	0	0	0	0	0	0	0	1
Platelephas_platycephalus	0	0	0	1	0	0	1	0	0	0	0
Platybelodon_dangheensis	-2	0	0	1	0	0	0	1	0	0	0
Platybelodon_danovi	-2	0	0	1	0	0	0	1	0	0	0
Platybelodon_grangeri	-2	0	0	1	0	0	0	1	0	0	0
Platybelodon_tongxinensis	-2	0	0	1	0	0	0	1	0	0	0
Primelephas_korotorensis	0	1	0	0	0	0	1	0	0	0	0
Prodeinotherium_bavaricum	0	0	0	1	0	1	0	0	0	0	0
Prodeinotherium_hobleyi	0	1	0	0	0	1	0	0	0	0	0
Prodeinotherium_pentapotamiae	0	0	0	1	0	1	0	0	0	0	0
Progomphotherium_maraisi	-2	1	0	0	0	0	0	1	0	0	0
Protanancus_brevirostris	-1	0	0	1	0	0	0	1	0	0	0
Protanancus_chinjiensis	0	0	0	1	0	0	0	1	0	0	0
Protanancus_macinnesi	0	1	0	0	0	0	0	1	0	0	0
Protanancus_tobieni	0	0	0	1	0	0	0	1	0	0	0
Rhynchotherium_falconeri	-1	0	1	0	0	0	0	1	0	0	0
Rhynchotherium_tlascalae	0	0	1	0	0	0	0	1	0	0	0
Serbelodon_barbourensis	0	0	1	0	0	0	0	1	0	0	0
